192.168.0.1   : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.103 : [0], 84 bytes, 1.99 ms (1.99 avg, 0% loss)
192.168.0.105 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.114 : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.119 : [0], 84 bytes, 0.32 ms (0.32 avg, 0% loss)
192.168.0.125 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.126 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.130 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.131 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.132 : [0], 84 bytes, 0.26 ms (0.26 avg, 0% loss)
192.168.0.134 : [0], 84 bytes, 0.15 ms (0.15 avg, 0% loss)
192.168.0.135 : [0], 84 bytes, 0.25 ms (0.25 avg, 0% loss)
192.168.0.139 : [0], 84 bytes, 2.88 ms (2.88 avg, 0% loss)
192.168.0.142 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.143 : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.144 : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.145 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.149 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.150 : [0], 84 bytes, 0.26 ms (0.26 avg, 0% loss)
192.168.0.152 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.153 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.155 : [0], 84 bytes, 0.13 ms (0.13 avg, 0% loss)
192.168.0.158 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.159 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.160 : [0], 84 bytes, 0.22 ms (0.22 avg, 0% loss)
192.168.0.165 : [0], 84 bytes, 0.17 ms (0.17 avg, 0% loss)
192.168.0.170 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.171 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.177 : [0], 84 bytes, 0.19 ms (0.19 avg, 0% loss)
