192.168.0.1   : [0], 84 bytes, 0.33 ms (0.33 avg, 0% loss)
192.168.0.106 : [0], 84 bytes, 0.59 ms (0.59 avg, 0% loss)
192.168.0.107 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.108 : [0], 84 bytes, 1.94 ms (1.94 avg, 0% loss)
192.168.0.110 : [0], 84 bytes, 4.14 ms (4.14 avg, 0% loss)
192.168.0.117 : [0], 84 bytes, 2.29 ms (2.29 avg, 0% loss)
192.168.0.118 : [0], 84 bytes, 0.18 ms (0.18 avg, 0% loss)
192.168.0.115 : [0], 84 bytes, 59.4 ms (59.4 avg, 0% loss)
192.168.0.122 : [0], 84 bytes, 6.86 ms (6.86 avg, 0% loss)
192.168.0.124 : [0], 84 bytes, 0.18 ms (0.18 avg, 0% loss)
192.168.0.125 : [0], 84 bytes, 0.21 ms (0.21 avg, 0% loss)
192.168.0.126 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.127 : [0], 84 bytes, 0.18 ms (0.18 avg, 0% loss)
192.168.0.129 : [0], 84 bytes, 2.48 ms (2.48 avg, 0% loss)
192.168.0.130 : [0], 84 bytes, 0.12 ms (0.12 avg, 0% loss)
192.168.0.123 : [0], 84 bytes, 81.8 ms (81.8 avg, 0% loss)
192.168.0.131 : [0], 84 bytes, 5.04 ms (5.04 avg, 0% loss)
192.168.0.133 : [0], 84 bytes, 0.15 ms (0.15 avg, 0% loss)
192.168.0.134 : [0], 84 bytes, 0.20 ms (0.20 avg, 0% loss)
192.168.0.135 : [0], 84 bytes, 0.46 ms (0.46 avg, 0% loss)
192.168.0.113 : [0], 84 bytes, 232 ms (232 avg, 0% loss)
192.168.0.136 : [0], 84 bytes, 0.22 ms (0.22 avg, 0% loss)
192.168.0.138 : [0], 84 bytes, 2.29 ms (2.29 avg, 0% loss)
192.168.0.139 : [0], 84 bytes, 0.14 ms (0.14 avg, 0% loss)
192.168.0.140 : [0], 84 bytes, 1.81 ms (1.81 avg, 0% loss)
192.168.0.141 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.142 : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.143 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.144 : [0], 84 bytes, 0.14 ms (0.14 avg, 0% loss)
192.168.0.145 : [0], 84 bytes, 0.18 ms (0.18 avg, 0% loss)
192.168.0.146 : [0], 84 bytes, 0.27 ms (0.27 avg, 0% loss)
192.168.0.148 : [0], 84 bytes, 0.33 ms (0.33 avg, 0% loss)
192.168.0.149 : [0], 84 bytes, 0.95 ms (0.95 avg, 0% loss)
192.168.0.150 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.151 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.152 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.153 : [0], 84 bytes, 5.79 ms (5.79 avg, 0% loss)
192.168.0.154 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.156 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.157 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.158 : [0], 84 bytes, 0.33 ms (0.33 avg, 0% loss)
192.168.0.161 : [0], 84 bytes, 11.0 ms (11.0 avg, 0% loss)
192.168.0.164 : [0], 84 bytes, 0.15 ms (0.15 avg, 0% loss)
192.168.0.165 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.169 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.162 : [0], 84 bytes, 75.5 ms (75.5 avg, 0% loss)
192.168.0.159 : [0], 84 bytes, 124 ms (124 avg, 0% loss)
192.168.0.173 : [0], 84 bytes, 0.99 ms (0.99 avg, 0% loss)
192.168.0.178 : [0], 84 bytes, 0.22 ms (0.22 avg, 0% loss)
192.168.0.179 : [0], 84 bytes, 1.36 ms (1.36 avg, 0% loss)
192.168.0.181 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.185 : [0], 84 bytes, 0.35 ms (0.35 avg, 0% loss)
192.168.0.190 : [0], 84 bytes, 0.29 ms (0.29 avg, 0% loss)
192.168.0.191 : [0], 84 bytes, 0.26 ms (0.26 avg, 0% loss)
192.168.0.192 : [0], 84 bytes, 0.16 ms (0.16 avg, 0% loss)
192.168.0.194 : [0], 84 bytes, 0.30 ms (0.30 avg, 0% loss)
192.168.0.195 : [0], 84 bytes, 0.28 ms (0.28 avg, 0% loss)
192.168.0.198 : [0], 84 bytes, 0.31 ms (0.31 avg, 0% loss)
192.168.0.166 : [0], 84 bytes, 433 ms (433 avg, 0% loss)
